sein,être,✅,Ich bin seit 2015 Lehrer. *(Je suis enseignant depuis 2015.)*,Ich bin krank gewesen. *(J'ai été malade.)*,Ich werde in 3 Wochen in Berlin sein. *(Je serai à Berlin dans 3 semaines.)*
ziehen,"tirer, déménager, attirer",✅,Ich ziehe die Tür auf. (Je tire la porte pour l’ouvrir.),Wir sind nach Berlin gezogen. (Nous avons déménagé à Berlin.),Er wird in eine neue Wohnung ziehen. (Il va emménager dans un nouvel appartement.)
scheinen,"sembler, briller",✅,"Es scheint heute die Sonne, also machen wir ein Picknick im Park. (Le soleil brille aujourd’hui, alors nous faisons un pique-nique au parc.)","Es hat so geschienen, als ob sie die Wahrheit nicht sagen wollte. (Il semblait qu’elle ne voulait pas dire la vérité.)","Wenn das Wetter so bleibt, wird morgen wieder die Sonne scheinen. (Si le temps reste comme ça, le soleil brillera de nouveau demain.)"
stehen,"être debout, se tenir",✅,Der Stuhl steht neben dem Tisch. (La chaise est à côté de la table.),Er hat lange in der Schlange gestanden. (Il est resté longtemps dans la file d'attente.),Ich werde früh an der Haltestelle stehen. (Je serai tôt à l'arrêt de bus.)
steigen,"monter, grimper, augmenter",✅,Ich steige jeden Morgen in den Zug nach München und lese dabei meine E-Mails. (Je monte chaque matin dans le train pour Munich et je lis mes e-mails en même temps.),Die Preise sind in den letzten Monaten stark gestiegen. (Les prix ont fortement augmenté ces derniers mois.),"Wenn die Nachfrage weiter steigt, werden die Lieferzeiten länger. (Si la demande continue d’augmenter, les délais de livraison seront plus longs.)"
schaffen (irrégulier),créer,✅,Der Künstler schafft ein Meisterwerk. (L’artiste crée un chef-d'œuvre.),Er hat eine beeindruckende Skulptur geschaffen. (Il a créé une sculpture impressionnante.),Sie wird eine neue Modekollektion schaffen. (Elle créera une nouvelle collection de mode.)
schaffen (régulier),"réussir, accomplir",✅,Ich schaffe das! (Je vais y arriver !),Ich habe die Prüfung geschafft. (J’ai réussi l’examen.),Er wird die Aufgabe sicher schaffen. (Il réussira sûrement la tâche.)
abholen,"aller chercher, venir chercher",✅,Ich hole dich morgen um acht Uhr ab. (Je viens te chercher demain à huit heures.),Er hat seine Schwester vom Bahnhof abgeholt. (Il est allé chercher sa sœur à la gare.),"Morgen werde ich das Paket bei der Post abholen. (Demain, j’irai chercher le colis à la poste.)"
anschauen,"regarder, examiner",✅,"Ich schaue mir jeden Abend eine Folge meiner Lieblingsserie an, um zu entspannen. (Je regarde un épisode de ma série préférée chaque soir pour me détendre.)","Wir haben uns gestern alte Urlaubsfotos angeschaut und viel gelacht. (Hier, nous avons regardé de vieilles photos de vacances et beaucoup ri.)","Morgen werde ich mir die Präsentation noch einmal genau anschauen. (Demain, je vais examiner à nouveau attentivement la présentation.)"
arbeiten,travailler,✅,"Ich arbeite derzeit an einem spannenden Projekt, das sich mit nachhaltiger Energie beschäftigt. (Je travaille actuellement sur un projet passionnant qui porte sur l’énergie durable.)","Letztes Jahr habe ich bei einer internationalen Organisation in Berlin gearbeitet. (L’an dernier, j’ai travaillé pour une organisation internationale à Berlin.)","Wenn ich dieses Praktikum bekomme, werde ich im Sommer in einem Architekturbüro arbeiten. (Si j’obtiens ce stage, je travaillerai dans un cabinet d’architecture cet été.)"
ausreichen,suffire,✅,Das Geld reicht für den Monat aus. (L’argent suffit pour le mois.),Sein Wissen hat für die Prüfung ausgereicht. (Ses connaissances ont suffi pour l’examen.),"Ich hoffe, dass meine Zeit morgen ausreichen wird. (J’espère que mon temps suffira demain.)"
bemerken,"remarquer, s’apercevoir de",✅,"Ich bemerke, dass du heute besonders ruhig bist. (Je remarque que tu es particulièrement calme aujourd’hui.)","Sie hat nicht bemerkt, dass ihr Handy geklingelt hat. (Elle ne s’est pas aperçue que son téléphone avait sonné.)","Du wirst sofort bemerken, wenn sich etwas ändert. (Tu remarqueras tout de suite s’il y a un changement.)"
anschaffen,"acquérir, acheter (souvent de manière planifiée ou importante)",❌,Wir schaffen uns nächstes Jahr ein neues Auto an. (Nous allons acquérir une nouvelle voiture l’année prochaine.),"Letztes Jahr haben sie sich ein Haus angeschafft. (L’année dernière, ils ont acheté une maison.)",Ich werde mir bald eine neue Kaffeemaschine anschaffen. (Je vais bientôt m’acheter une nouvelle machine à café.)
aufteilen,"répartir, diviser",❌,"Wir teilen die Arbeit gleichmäßig auf, damit niemand überlastet ist. (Nous répartissons le travail équitablement pour que personne ne soit surchargé.)",Sie haben die Kosten gerecht aufgeteilt. (Ils ont réparti les coûts de manière équitable.),"Morgen werden wir die Aufgaben unter den Teammitgliedern aufteilen. (Demain, nous répartirons les tâches entre les membres de l'équipe.)"
ausdrücken,exprimer,❌,"Manchmal fällt es mir schwer, meine Gefühle auszudrücken. (Parfois, j'ai du mal à exprimer mes sentiments.)",Er hat seine Meinung klar ausgedrückt. (Il a exprimé clairement son opinion.),"Morgen werde ich meine Ideen vor der Gruppe ausdrücken. (Demain, j’exprimerai mes idées devant le groupe.)"
auswerten,"analyser, exploiter (des données, résultats)",❌,Wir werten die Ergebnisse der Umfrage aus. (Nous analysons les résultats du sondage.),Die Forscher haben bereits alle Daten ausgewertet. (Les chercheurs ont déjà exploité toutes les données.),Ich werde die Zahlen nächste Woche auswerten. (J'analyserai les chiffres la semaine prochaine.)
sich bemühen,"s'efforcer, faire un effort",❌,"Ich bemühe mich, jeden Tag ein bisschen Deutsch zu lernen, auch wenn ich müde bin. (Je m’efforce d’apprendre un peu d’allemand chaque jour, même quand je suis fatigué.)","Sie hat sich sehr bemüht, ihre Arbeit rechtzeitig fertigzustellen. (Elle a fait de gros efforts pour terminer son travail à temps.)","Wenn du dich weiterhin bemühst, wirst du bald große Fortschritte machen. (Si tu continues à faire des efforts, tu feras bientôt de grands progrès.)"
berühren,toucher,❌,"Bitte berühre die Kunstwerke im Museum nicht. (S’il te plaît, ne touche pas les œuvres d’art au musée.)",Er hat versehentlich den Alarmknopf berührt. (Il a touché le bouton d’alarme par accident.),"Wenn du fertig bist, wirst du die Oberfläche reinigen, nachdem du sie berührt hast. (Quand tu auras fini, tu nettoieras la surface après l’avoir touchée.)"
beurteilen,"juger, évaluer",❌,Wir beurteilen die Leistung der Kandidaten objektiv. (Nous évaluons les performances des candidats de manière objective.),Der Lehrer hat die Präsentationen der Schüler fair beurteilt. (Le professeur a évalué les présentations des élèves équitablement.),"In der nächsten Sitzung werden wir die Ergebnisse gemeinsam beurteilen. (Lors de la prochaine réunion, nous jugerons les résultats ensemble.)"
brauchen,avoir besoin de,❌,"Ich brauche mehr Zeit, um diese Aufgabe sorgfältig zu erledigen. (J’ai besoin de plus de temps pour accomplir cette tâche avec soin.)","Wir haben deine Hilfe wirklich gebraucht, als das Problem aufgetreten ist. (Nous avons vraiment eu besoin de ton aide lorsque le problème est survenu.)","Wenn du gute Ergebnisse willst, wirst du Ausdauer und Geduld brauchen. (Si tu veux de bons résultats, tu auras besoin de persévérance et de patience.)"
einreichen,"soumettre, déposer (un document, une demande)",❌,Ich reiche heute meinen Antrag beim Amt ein. (Je soumets aujourd’hui ma demande auprès de l’administration.),Sie hat die Unterlagen gestern eingereicht. (Elle a déposé les documents hier.),"Morgen werde ich den Bericht offiziell einreichen. (Demain, je déposerai officiellement le rapport.)"
machen,faire,❌,Ich mache meine Hausaufgaben. *(Je fais mes devoirs.)*,Wir haben einen Fehler gemacht. *(Nous avons fait une erreur.)*,Sie wird morgen Sport machen. *(Elle fera du sport demain.)*
setzen,"poser, asseoir, mettre en place",❌,Ich setze die Pflanze auf den Tisch. *(Je pose la plante sur la table.)*,Er hat sich auf den Stuhl gesetzt. *(Il s’est assis sur la chaise.)*,Wir werden neue Regeln setzen. *(Nous mettrons de nouvelles règles en place.)*
warten,attendre,❌,Ich warte auf den Bus. *(J’attends le bus.)*,Ich habe lange gewartet. *(J'ai attendu longtemps.)*,Ich werde auf dich warten. *(Je t’attendrai.)*
suchen,chercher,❌,Ich suche meine Schlüssel. *(Je cherche mes clés.)*,Er hat seinen Hund überall gesucht. *(Il a cherché son chien partout.)*,Ich werde einen neuen Job suchen. *(Je vais chercher un nouveau travail.)*
stellen,"mettre, poser debout, placer",❌,Ich stelle die Flasche auf den Tisch. *(Je mets la bouteille sur la table.)*,Er hat mir eine schwierige Frage gestellt. *(Il m'a posé une question difficile.)*,Ich werde das Buch ins Regal stellen. *(Je vais mettre le livre sur l'étagère.)*
legen,"poser à plat, allonger, mettre",❌,Ich lege das Buch auf den Tisch. *(Je pose le livre sur la table.)*,Er hat sich auf das Sofa gelegt. *(Il s'est allongé sur le canapé.)*,Ich werde die Zeitung auf den Stuhl legen. *(Je vais poser le journal sur la chaise.)*
befragen,"interroger, questionner",❌,Der Journalist befragt den Experten zu aktuellen Themen. (Le journaliste interroge l’expert sur des sujets d’actualité.),Die Polizei hat mehrere Zeugen befragt. (La police a interrogé plusieurs témoins.),"Morgen werde ich die Teilnehmer der Umfrage befragen. (Demain, j’interrogerai les participants du sondage.)"
begrüßen,"saluer, accueillir",❌,Wir begrüßen jeden Kunden mit einem freundlichen Lächeln. (Nous saluons chaque client avec un sourire amical.),Die Gastgeber haben uns herzlich begrüßt. (Les hôtes nous ont accueillis chaleureusement.),"Morgen werden wir neue Kollegen im Büro begrüßen. (Demain, nous accueillerons de nouveaux collègues au bureau.)"
behandeln,"traiter, soigner, aborder (un sujet)",❌,Der Arzt behandelt jeden Patienten mit großer Sorgfalt und Respekt. (Le médecin traite chaque patient avec beaucoup de soin et de respect.),"In seinem Vortrag hat er das Thema sehr ausführlich behandelt. (Dans sa conférence, il a abordé le sujet de manière très détaillée.)","Morgen werden wir im Seminar die wichtigsten Kapitel des Buches behandeln. (Demain, nous aborderons les chapitres les plus importants du livre pendant le séminaire.)"
besuchen,"visiter, rendre visite à",❌,Ich besuche meine Großeltern am Wochenende. (Je rends visite à mes grands-parents ce week-end.),Er hat mich gestern besucht. (Il m’a rendu visite hier.),Wir werden das Museum am Samstag besuchen. (Nous visiterons le musée samedi.)
besichtigen,"visiter (un lieu, un monument)",❌,"Wir besichtigen morgen das historische Stadtzentrum, das für seine mittelalterlichen Gebäude berühmt ist. (Nous visiterons demain le centre historique célèbre pour ses bâtiments médiévaux.)","Während unserer Reise haben wir mehrere bedeutende Museen in Paris besichtigt. (Pendant notre voyage, nous avons visité plusieurs musées importants à Paris.)","Im Sommer werde ich endlich das Schloss Neuschwanstein besichtigen, von dem ich immer geträumt habe. (Cet été, je vais enfin visiter le château de Neuschwanstein dont j'ai toujours rêvé.)"
bestellen,"commander (un produit, un repas)",❌,"Ich bestelle oft mein Mittagessen online, wenn ich im Büro viel zu tun habe. (Je commande souvent mon déjeuner en ligne quand j’ai beaucoup de travail au bureau.)","Letzte Woche habe ich ein neues Handy bestellt, das morgen geliefert wird. (La semaine dernière, j’ai commandé un nouveau téléphone qui sera livré demain.)",Wir werden für die Party eine große Pizza und Getränke bestellen. (Nous commanderons une grande pizza et des boissons pour la fête.)
bewältigen,"surmonter, maîtriser, gérer",❌,"Ich bewältige schwierige Aufgaben, indem ich sie in kleinere Schritte aufteile. (Je surmonte les tâches difficiles en les découpant en petites étapes.)",Er hat die Herausforderungen des letzten Jahres erfolgreich bewältigt. (Il a surmonté avec succès les défis de l’année dernière.),"Wenn wir gut zusammenarbeiten, werden wir jedes Problem bewältigen können. (Si nous travaillons bien ensemble, nous pourrons surmonter chaque problème.)"
hoffen,espérer,❌,"Ich hoffe, dass du bald kommst. (J’espère que tu viendras bientôt.)",Wir haben auf besseres Wetter gehofft. (Nous avons espéré un meilleur temps.),"Ich werde hoffen, dass alles gut läuft. (J’espérerai que tout se passe bien.)"
hören,"écouter, entendre",❌,"Ich höre jeden Morgen Musik, während ich frühstücke. (J'écoute de la musique chaque matin pendant que je prends mon petit-déjeuner.)",Er hat gestern eine interessante Radiosendung gehört. (Il a écouté une émission de radio intéressante hier.),"Morgen werde ich mir den neuen Podcast anhören, den du mir empfohlen hast. (Demain, j'écouterai le nouveau podcast que tu m'as recommandé.)"
klingeln,sonner,❌,Es klingelt an der Tür. (Ça sonne à la porte.),Das Telefon hat mehrmals geklingelt. (Le téléphone a sonné plusieurs fois.),"Morgen früh wird der Wecker um sechs Uhr klingeln. (Demain matin, le réveil sonnera à six heures.)"
lachen,rire,❌,"Wir lachen viel, wenn wir gemeinsam alte Geschichten erzählen. (Nous rions beaucoup quand nous racontons de vieilles histoires ensemble.)","Gestern haben wir im Kino laut gelacht, weil der Film so witzig war. (Hier, nous avons beaucoup ri au cinéma car le film était très drôle.)","Ich bin sicher, dass wir auch morgen wieder zusammen lachen werden. (Je suis sûr que nous allons aussi rire ensemble demain.)"
löschen,"effacer, supprimer, éteindre (feu/lumière)",❌,"Ich lösche alle alten Nachrichten, bevor ich neue speichere. (J’efface tous les anciens messages avant d’en enregistrer de nouveaux.)",Sie hat die Datei versehentlich gelöscht. (Elle a supprimé le fichier par erreur.),"Wenn du fertig bist, wirst du das Licht löschen, bevor du gehst. (Quand tu auras terminé, tu éteindras la lumière avant de partir.)"
reinigen,nettoyer,❌,Ich reinige die Küche jeden Samstag gründlich. (Je nettoie la cuisine à fond chaque samedi.),Sie hat gestern das ganze Haus gereinigt. (Elle a nettoyé toute la maison hier.),"Morgen werde ich mein Auto reinigen lassen. (Demain, je ferai nettoyer ma voiture.)"
starten,"démarrer, commencer, lancer",❌,"Das Meeting startet um neun Uhr, also sei bitte pünktlich im Konferenzraum. (La réunion commence à neuf heures, alors sois à l'heure dans la salle de conférence.)",Das Flugzeug ist trotz des Regens pünktlich gestartet. (L’avion a décollé à l’heure malgré la pluie.),"Wenn alle bereit sind, werden wir das Projekt offiziell starten. (Quand tout le monde sera prêt, nous lancerons officiellement le projet.)"
verhindern,"empêcher, éviter (un événement)",❌,"Wir versuchen, Fehler im System zu verhindern. (Nous essayons d’éviter les erreurs dans le système.)",Die Polizei hat den Unfall durch schnelles Eingreifen verhindert. (La police a empêché l’accident grâce à une intervention rapide.),"Wenn wir früh genug reagieren, werden wir das Problem verhindern. (Si nous réagissons assez tôt, nous éviterons le problème.)"
verpassen,"rater, manquer (un événement, un transport)",❌,"Ich verpasse nie den Bus, weil ich immer zehn Minuten früher an der Haltestelle bin. (Je ne rate jamais le bus, car je suis toujours à l’arrêt dix minutes à l’avance.)","Letzte Woche habe ich wegen eines Meetings meinen Flug verpasst. (La semaine dernière, j’ai raté mon vol à cause d’une réunion.)","Wenn du dich nicht beeilst, wirst du den Anfang des Films verpassen. (Si tu ne te dépêches pas, tu vas manquer le début du film.)"
versuchen,"essayer, tenter",❌,"Ich versuche, früher aufzustehen. (J’essaie de me lever plus tôt.)",Er hat es dreimal versucht. (Il a essayé trois fois.),Wir werden es noch einmal versuchen. (Nous essaierons encore une fois.)
verzichten,"renoncer à, se passer de",❌,"Ich verzichte während der Woche bewusst auf Zucker, um gesünder zu leben. (Je me passe volontairement de sucre pendant la semaine pour vivre plus sainement.)",Sie hat aus beruflichen Gründen auf ihren Jahresurlaub verzichtet. (Elle a renoncé à ses vacances annuelles pour des raisons professionnelles.),"Wenn du wirklich Fortschritte machen willst, wirst du auf gewisse Bequemlichkeiten verzichten müssen. (Si tu veux vraiment progresser, tu devras renoncer à certaines commodités.)"
verzögern,"retarder, ralentir",❌,Baustellen verzögern oft den Verkehr in der Stadt. (Les chantiers retardent souvent la circulation en ville.),Der Regen hat den Beginn des Spiels verzögert. (La pluie a retardé le début du match.),"Wenn wir jetzt nicht handeln, wird sich das Projekt weiter verzögern. (Si nous n'agissons pas maintenant, le projet sera encore retardé.)"
vermehren,"se multiplier, augmenter",❌,"In der Stadt vermehren sich die Tauben besonders schnell, wenn sie regelmäßig gefüttert werden. (En ville, les pigeons se multiplient particulièrement vite lorsqu’ils sont nourris régulièrement.)",Die Anzahl der Teilnehmer hat sich in den letzten Jahren deutlich vermehrt. (Le nombre de participants a considérablement augmenté ces dernières années.),"Wenn wir keine Maßnahmen ergreifen, wird sich das Problem in kurzer Zeit weiter vermehren. (Si nous ne prenons pas de mesures, le problème va continuer à s’aggraver rapidement.)"
vorbereiten,préparer,❌,"Ich bereite mich sorgfältig auf das Vorstellungsgespräch vor, damit ich einen guten Eindruck hinterlasse. (Je me prépare soigneusement à l'entretien d'embauche pour faire bonne impression.)","Sie hat das Abendessen schon vorbereitet, bevor die Gäste angekommen sind. (Elle avait déjà préparé le dîner avant que les invités n'arrivent.)","Morgen werde ich alles für die Präsentation vorbereiten, damit wir pünktlich starten können. (Demain, je vais tout préparer pour la présentation afin que nous puissions commencer à l’heure.)"
erforschen,"explorer, étudier en profondeur",❌,Die Wissenschaftler erforschen das Verhalten der Tiere. (Les scientifiques étudient le comportement des animaux.),Sie haben ein neues Gebiet im Amazonas erforscht. (Ils ont exploré une nouvelle région en Amazonie.),"Morgen werde ich das Thema genauer erforschen. (Demain, j'étudierai le sujet plus en détail.)"
erklären,expliquer,❌,"Ich erkläre meinem kleinen Bruder geduldig, wie man eine E-Mail schreibt. (J’explique patiemment à mon petit frère comment écrire un e-mail.)",Der Lehrer hat den Schülern die Grammatikregeln ausführlich erklärt. (Le professeur a expliqué en détail les règles de grammaire aux élèves.),Ich werde dir später alles in Ruhe erklären. (Je t’expliquerai tout calmement plus tard.)
erleben,"vivre (une expérience), éprouver",❌,Wir erleben gerade einen wunderschönen Sonnenuntergang. (Nous vivons en ce moment un magnifique coucher de soleil.),Ich habe in diesem Jahr viele Abenteuer erlebt. (J’ai vécu beaucoup d’aventures cette année.),Du wirst etwas Unglaubliches erleben. (Tu vas vivre quelque chose d’incroyable.)
erzählen,raconter,❌,Mein Großvater erzählt mir oft Geschichten aus seiner Kindheit. (Mon grand-père me raconte souvent des histoires de son enfance.),"Gestern hat sie mir eine spannende Geschichte erzählt, die sie im Urlaub erlebt hat. (Hier, elle m’a raconté une histoire passionnante vécue pendant ses vacances.)","Morgen werde ich euch alles erzählen, was ich bisher geheim gehalten habe. (Demain, je vous raconterai tout ce que j’ai gardé secret jusqu’à présent.)"
erreichen,"atteindre, joindre, parvenir à",❌,"Ich erreiche mein Büro normalerweise in weniger als 30 Minuten, wenn der Verkehr flüssig ist. (J’atteins normalement mon bureau en moins de 30 minutes quand la circulation est fluide.)","Wir haben endlich unser Ziel erreicht, nachdem wir stundenlang gewandert sind. (Nous avons enfin atteint notre objectif après avoir marché pendant des heures.)","Wenn du dich anstrengst und fokussiert bleibst, wirst du alles erreichen, was du dir vorgenommen hast. (Si tu fais des efforts et restes concentré, tu atteindras tout ce que tu t’es fixé comme but.)"
sparen,économiser,❌,"Sie spart jeden Monat einen Teil ihres Gehalts, um sich eine Reise leisten zu können. (Elle économise chaque mois une partie de son salaire pour pouvoir se payer un voyage.)",Wir haben über ein Jahr lang für ein neues Auto gespart. (Nous avons économisé pendant plus d’un an pour une nouvelle voiture.),"Wenn wir weiterhin so sparen, werden wir bald genug Geld haben. (Si nous continuons à économiser ainsi, nous aurons bientôt assez d’argent.)"
entdecken,découvrir,❌,"Ich entdecke gern neue Cafés in meiner Nachbarschaft, besonders wenn sie eine gemütliche Atmosphäre haben. (J’aime découvrir de nouveaux cafés dans mon quartier, surtout s’ils ont une ambiance chaleureuse.)","Wir haben auf unserer Reise viele versteckte Orte entdeckt, die nicht im Reiseführer standen. (Nous avons découvert de nombreux endroits cachés lors de notre voyage, qui ne figuraient pas dans le guide.)","Nächstes Jahr werden wir hoffentlich eine neue Insel entdecken, die noch unberührt ist. (L’an prochain, nous découvrirons peut-être une île encore intacte.)"
enttäuschen,décevoir,❌,"Ich möchte meine Freunde nicht enttäuschen, deshalb gebe ich mein Bestes. (Je ne veux pas décevoir mes amis, c’est pourquoi je fais de mon mieux.)","Der Film hat viele Zuschauer enttäuscht, weil er ganz anders war als erwartet. (Le film a déçu beaucoup de spectateurs car il était très différent de ce qu’ils attendaient.)","Wenn du ehrlich bist, wirst du niemanden enttäuschen. (Si tu es honnête, tu ne décevras personne.)"
entwickeln,développer,❌,Die Firma entwickelt innovative Lösungen für nachhaltige Energie. (L'entreprise développe des solutions innovantes pour l'énergie durable.),"Die Ingenieure haben eine neue Technologie entwickelt, die den Energieverbrauch reduziert. (Les ingénieurs ont développé une nouvelle technologie qui réduit la consommation d'énergie.)","In den nächsten Jahren wird man viele neue Projekte entwickeln, um die Umwelt zu schützen. (Dans les prochaines années, on développera de nombreux nouveaux projets pour protéger l'environnement.)"
entspannen,se détendre,❌,Ich entspanne mich gerne abends mit einem Buch und leiser Musik. (J’aime me détendre le soir avec un livre et de la musique douce.),"Nach einem langen Arbeitstag habe ich mich in der Badewanne entspannt. (Après une longue journée de travail, je me suis détendu dans le bain.)","Am Wochenende werde ich mich einfach zu Hause entspannen und nichts tun. (Ce week-end, je vais simplement me détendre à la maison et ne rien faire.)"
warnen,"avertir, prévenir",❌,Ich warne dich: Der Weg ist rutschig. (Je t’avertis : le chemin est glissant.),Der Arzt hat ihn vor den Nebenwirkungen gewarnt. (Le médecin l’a averti des effets secondaires.),"Wenn du nicht aufpasst, werde ich dich wieder warnen müssen. (Si tu ne fais pas attention, je devrai encore te prévenir.)"